prompt_id,category,type,title,model_name,lab,run_number,open_weights,full_cot,max_tokens,total_score,criteria_met_count,criteria_total_count,success_rate,tokens_output,tokens_reasoning,tokens_completion,char_output,char_reasoning,char_completion,output_entropy,output_bzip2_length,output_bzip2_ratio,output_entropy_ratio,thinking_entropy,thinking_bzip2_length,thinking_bzip2_ratio,thinking_entropy_ratio
one_plus_one,Knowledge,knowledge,One plus one,o4-mini-high-long,openai,1,False,False,30000,1,1,1,1,7.0,64.0,71,1,0,1,0.0,37,37.0,0.0,4.56952,319,0.80151,0.57119
one_plus_one,Knowledge,knowledge,One plus one,o4-mini-high-long,openai,2,False,False,30000,1,1,1,1,7.0,0.0,7,1,239,240,0.0,37,37.0,0.0,0.0,0,0.0,0.0
one_plus_one,Knowledge,knowledge,One plus one,o4-mini-high-long,openai,3,False,False,30000,1,1,1,1,7.0,64.0,71,1,398,399,0.0,37,37.0,0.0,4.56887,316,0.77641,0.57111
one_plus_one,Knowledge,knowledge,One plus one,o4-mini-high-long,openai,4,False,False,30000,1,1,1,1,7.0,64.0,71,1,407,408,0.0,37,37.0,0.0,4.6656,235,0.98326,0.5832
one_plus_one,Knowledge,knowledge,One plus one,o4-mini-high-long,openai,5,False,False,30000,1,1,1,1,7.0,128.0,135,1,413,414,0.0,37,37.0,0.0,4.48106,308,0.74576,0.56013
one_plus_one,Knowledge,knowledge,One plus one,claude-4-sonnet-0522-thinking,anthropic,1,False,False,30000,1,1,1,1,2.90323,42.09677,45,9,77,86,2.05881,43,4.77778,0.25735,4.1133,96,1.24675,0.51416
one_plus_one,Knowledge,knowledge,One plus one,claude-4-sonnet-0522-thinking,anthropic,2,False,False,30000,1,1,1,1,2.90323,42.09677,45,9,77,86,2.05881,43,4.77778,0.25735,4.1133,96,1.24675,0.51416
one_plus_one,Knowledge,knowledge,One plus one,claude-4-sonnet-0522-thinking,anthropic,3,False,False,30000,1,1,1,1,2.90323,43.09677,46,9,90,99,2.05881,43,4.77778,0.25735,4.15593,106,1.29268,0.51949
one_plus_one,Knowledge,knowledge,One plus one,claude-4-sonnet-0522-thinking,anthropic,4,False,False,30000,1,1,1,1,2.90323,43.09677,46,9,82,91,2.05881,43,4.77778,0.25735,4.1133,96,1.24675,0.51416
one_plus_one,Knowledge,knowledge,One plus one,claude-4-sonnet-0522-thinking,anthropic,5,False,False,30000,1,1,1,1,2.90323,42.09677,45,9,77,86,2.05881,43,4.77778,0.25735,4.19619,109,1.21111,0.52452
